,location,latitude,longitude
0,    Gachibowli,17.4436222,78.3519638
1,    Shamshabad,17.2611444,78.3931943
2,    Kukatpally,17.4930841,78.4054408
3,    Mallapur,17.4405369,78.5788551
4,    Habsiguda,17.4154761,78.5426918
5,    Jubilee Hills,17.4308362,78.4102882
6,    Secunderabad,17.4690889,78.5059176
7,    Banjara Hills,17.4177464,78.4399014
8,    Manikonda,17.4037073,78.3766148
9,    Ameerpet,17.4375012,78.4482505
10,    Shamirpet,17.5942672,78.5743878
11,    Sainikpuri,17.4892154,78.5424889
12,    Srinagar Colony,17.431231,78.4337951
13,    Quthbullapur,17.4966655,78.46064448
14,    A C Guards,17.4028042,78.4594873
15,    Abids Road,17.39186,78.4761529
16,    Adarsh Nagar,17.4058387,78.4711355
17,    Adikmet,17.4095495,78.5130943
18,    Afzalgunj,17.3734999,78.4763376
19,    Ahmed Nagar,17.404066,78.4442286
20,    Akbar Road,17.4634258,78.486779
21,    Aliabad,17.34563,78.4726799
22,    Alwal,17.5022292,78.5088584
23,    Amberpet,17.7776835,78.5705066
24,    Ameerpet X Road,17.4344657,78.445479
25,    Anand Bagh,17.456628,78.5431747
26,    Anand Nagar Colony,17.3717729,78.5043921
27,    Ashok Nagar,17.33937,78.4865907
28,    Asif Nagar,17.38362315,78.44614388
29,    Attapur,17.3672244,78.4307278
30,    Attapur Ring Road,17.3672244,78.4307278
31,    Auto Nagar,17.342946,78.5785756
32,    Azamabad,17.4071166,78.5032906
33,    Badichowdi,17.3883755,78.4877854
34,    Bagh Amberpet,17.39789285,78.51750884
35,    Bagh Lingampally,17.3974359,78.4979706
36,    Bahadurpura,17.3570672,78.4545419
37,    Bairamalguda,17.3410616,78.5423473
38,    Bakaram,17.4150302,78.4936742
39,    Balapur,17.3079982,78.5003382
40,    Balkampet,17.4469233,78.4504513
41,    Bandlaguda,17.3714879,78.5727265
42,    Bank Street,17.3857171,78.4801566
43,    Bapuji Nagar,17.4218643,78.546838
44,    Barkas,17.3116912,78.4838214
45,    Barkatpura,17.3926121,78.4969683
46,    Basheerbagh,17.4050023,78.4769104
47,    Begum Bazar,17.37526545,78.47168783
48,    Bhagya Nagar Colony,17.3452888,78.5332108
49,    Bharat Nagar,17.3950455,78.517973
50,    Bhel,17.5051308,78.4895401
51,    Bholakpur,17.4191997,78.4949035
52,    Bk Guda,17.595831,78.5021477
53,    Boggulakunta,17.3892812,78.4807418
54,    Borabanda,17.45167,78.415421
55,    Boudha Nagar,17.4175105,78.5169267
56,    Bowenpally,17.4755371,78.4792282
57,    Boyiguda,17.4286363,78.4969962
58,    Chaderghat,17.3820325,78.4925338
59,    Chaitanyapuri,17.373017,78.5362644
60,    Champapet,17.3445706,78.5169717
61,    Champapet X Road,17.3445706,78.5169717
62,    Chanchalguda,17.3673732,78.4965799
63,    Chanda Nagar,17.373791,78.2612479
64,    Chandrayangutta,17.323217,78.4787597
65,    Charminar,17.3616503,78.47467134
66,    Chatta Bazar,17.36907,78.4779713
67,    Cherlapally,17.4687455,78.6024858
68,    Chikkadpally,17.400939,78.4976319
69,    Chilkalguda,17.4315325,78.5071619
70,    Chintal,17.4974934,78.4605641
71,    Chintal Basti,17.4096785,78.4570516
72,    Chintalkunta,17.3441101,78.5636781
73,    Chirag Ali Lane,17.390992,78.4744684
74,    Chudi Bazar,17.3738134,78.4647791
75,    D D Colony,17.5515657,78.51916058
76,    Dabeerpura,17.367843,78.4871899
77,    Dabeerpura North,17.367843,78.4871899
78,    Darul Shifa,17.3681235,78.4813822
79,    Defence Colony,17.3176682,78.6117136
80,    Diamond Point,17.4624069,78.4911418
81,    Domalguda,17.4078455,78.4850003
82,    Doodh Bowli,17.35522615,78.46242745
83,    Dr. A.S Rao Nagar,17.4771095,78.5634096
84,    Dwarkapuri Colony,17.4245834,78.4500162
85,    East Marredpally,17.4469418,78.5107535
86,    ECIL,17.4989835,78.5301907
87,    Ecil Post,17.4707027,78.5688683
88,    Erragadda,17.4487999,78.4356074
89,    Erramanzil,17.4202177,78.45631
90,    Erramanzil Colony,17.4202177,78.45631
91,    Esamia Bazar,17.3811762,78.4916662
92,    Falaknuma,17.333653,78.4677481
93,    Fateh Darwaza,17.3534179,78.4648649
94,    Fateh Maidan,17.3990109,78.4732638
95,    Fateh Nagar,17.4581554,78.4513374
96,    Film Nagar,17.4140574,78.4105031
97,    Gaddi Annaram,17.39162065,78.56004462
98,    Gagan Mahal,17.4094152,78.4800908
99,    Gagan Pahad,17.2988247,78.4175089
100,    Gandhi Nagar,17.4123446,78.4899194
101,    General Bazar,17.40416905,78.38268185
102,    Ghansi Bazar,17.3613242,78.47147684
103,    Ghatkesar,17.4510837,78.6843022
104,    Golconda,17.38688675,78.4205216
105,    Golconda X Roads,17.4087116,78.497584
106,    Gowliguda,17.377643,78.4787716
107,    Gudimalkapur,17.3879203,78.4371165
108,    Gudimalkapur New Po,17.3879203,78.4371165
109,    Gulzar House,17.3359472,78.4549087
110,    Gun Foundry,17.3954622,78.4763578
111,    Gunfoundry,17.39364405,78.47566539
112,    Hakimpet,17.54970955,78.52413307
113,    Hastinapuram,17.3291354,78.5542145
114,    Hill Fort,17.4043491,78.4720803
115,    Hill Fort Road,17.4035408,78.4724134
116,    Hill Street,17.3886068,78.46080957
117,    Himayat Nagar,17.4039678,78.483456
118,    Hmt Nagar,17.4228949,78.547949
119,    Hmt Road,17.4234932,78.5465945
120,    Humayun Nagar,17.397111,78.4447655
121,    Hussaini Alam,17.361886,78.4667506
122,    Hyderabad Central,17.4270521,78.4533217
123,    Hyderguda,17.4012791,78.4804894
124,    Ibrahim Bagh,17.3822561,78.3816605
125,    Ibrahimpatnam,17.1952924,78.6508564
126,    Indira Park,17.4146815,78.48306257
127,    Jagadgirigutta,17.5016722,78.4262025
128,    Jagdish Market,17.39171435,78.4749859
129,    Jambagh,17.3835866,78.4774067
130,    Jamia Osmania,17.4102641,78.5180366
131,    Jawahar Nagar,17.4076626,78.4928021
132,    Jeedimetla,17.5096516,78.4786567
133,    Kachi,25.37885985,68.36325607
134,    Kachiguda,17.39004015,78.49462051
135,    Kakaguda,17.4586533,78.5019114
136,    Kakatiya Nagar,17.3945088,78.4259213
137,    Kali Kaman,17.3630365,78.475956
138,    Kalyan Nagar,17.4526549,78.4235034
139,    Kamala Nagar,17.328264,78.5770152
140,    Kanchanbagh,17.32805635,78.50016948
141,    Kapra,17.4846356,78.5610095
142,    Karimnagar,17.5438276,78.5334331
143,    Karkhana,17.4732138,78.5115017
144,    Karmanghat,17.3410061,78.5329747
145,    Karvan,17.3691082,78.4496747
146,    Karwan,17.3800823,78.437475
147,    Kavadiguda,17.4227022,78.4917695
148,    Keshavagiri,17.3235693,78.4791594
149,    Khairatabad,17.4117706,78.4622003
150,    King Koti,17.3936821,78.4823947
151,    King Koti X Road,17.3936821,78.4823947
152,    Kishan Bagh,17.3575261,78.44485
153,    Kompally,17.5447029,78.491842
154,    Kondapur,17.4587912,78.3730556
155,    Kothaguda,17.458705,78.3638803
156,    Kothapet,17.3744799,78.5454615
157,    Kphb,17.4940793,78.4008221
158,    Kphb Colony,17.4922068,78.3973638
159,    Krishna Nagar,17.4330523,78.4246746
160,    Kukatpally Colony,17.4834374,78.4130663
161,    Kundan Bagh,17.4355332,78.4618722
162,    Kushaiguda,17.4825451,78.5726444
163,    L B Nagar,17.3498345,78.5479023
164,    L B Stadium,25.3782422,68.3447231
165,    L B Stadium,25.3782422,68.3447231
166,    Lakdi Ka Pul,17.405368,78.4599489
167,    Lal Bazar,17.4803509,78.5148169
168,    Lal Darwaza,17.3463862,78.4774507
169,    Lalapet,17.1573779,78.0274236
170,    Lallaguda,17.4377225,78.521976
171,    Liberty,17.4071019,78.4762585
172,    Lingampally,17.3923945,78.4916581
173,    Lower Tank Bund Road,17.4181335,78.482234
174,    Madannapet,17.3585578,78.4971064
175,    Madhapur,17.4408578,78.3916289
176,    Madhura Nagar,17.4386754,78.4390961
177,    Madina,17.3363725,78.466382
178,    Mahankali Street,17.3875192,78.52660359
179,    Mahatma Gandhi Road,17.4375654,78.4887063
180,    Malakpet,17.3736706,78.4996484
181,    Malkajgiri,17.4511764,78.5368997
182,    Mallepally,17.3920728,78.4546129
183,    Mallepally North,17.3920728,78.4546129
184,    Market Street,17.3886068,78.46080957
185,    Marredpally,17.4507936,78.5048972
186,    Maruthi Colony,17.4341919,78.4972913
187,    Maruthi Nagar,17.3138317,78.5779533
188,    Masab Tank,17.4029622,78.450754
189,    Meerpet,17.45407295,78.57150737
190,    Mehdipatnam X Road,17.3946168,78.4392847
191,    Miyapur,17.4981608,78.3567628
192,    Monda Market,17.4409693,78.50316942
193,    Moosapet,17.4685307,78.4206695
194,    Moti Nagar,17.4508069,78.422242
195,    Moula Ali,17.4668161,78.5592161
196,    Murad Nagar,17.3486115,78.475765
197,    Musheerabad,17.4146753,78.5068215
198,    Nacharam,17.4284936,78.5528098
199,    Nagarjuna Hills,17.4275582,78.4471062
200,    Nagarjuna Nagar,17.3567563,78.5586055
201,    Nagole,17.3775306,78.5601231
202,    Nagole X Road,17.3774867,78.5577208
203,    Nallakunta,17.3975005,78.50557
204,    Namala Gundu,17.4288453,78.5134584
205,    Nampally,17.3918524,78.4660052
206,    Nampally Station Road,17.3912024,78.4700763
207,    Narayanaguda,17.3987085,78.4938066
208,    Narayanguda,17.3981159,78.4885006
209,    Necklace Road,17.4152645,78.4659229
210,    Nehru Nagar,17.3900289,78.5032942
211,    Neredmet,17.470446,78.5360054
212,    New Bowenpally,17.4719293,78.4924365
213,    New Boyiguda,17.4286363,78.4969962
214,    New Malakpet,17.3736706,78.4996484
215,    New Nagole,17.3775306,78.5601231
216,    New Nallakunta,17.3959752,78.5092275
217,    Nimboliadda,17.3845827,78.4943227
218,    Nizam Shahi Road,17.378868,78.4738091
219,    Nizamabad,18.6534626,78.1477148
220,    Nizampet,17.515397,78.3817156
221,    Nizampet Road,17.5126025,78.3840819
222,    Old Alwal,17.5060381,78.5007272
223,    Old Bowenpally,17.4719293,78.4924365
224,    Old Boyiguda,17.4286363,78.4969962
225,    Old Malakpet,17.3787081,78.4988983
226,    Osman Shahi,17.3758806,78.4790293
227,    Osmania University,17.41179405,78.52743697
228,    Padma Rao Nagar,17.4266232,78.5057671
229,    Panjagutta,17.4254245,78.4517519
230,    P And T Colony,17.3934182,78.4321692
231,    Paradise,17.443459,78.4870103
232,    Paradise Circle,17.443459,78.4870103
233,    Parsigutta,17.4155855,78.5113023
234,    Patancheru,17.5286092,78.2674254
235,    Patel Market,17.3825308,78.527926
236,    Patny,17.4396889,78.4947056
237,    Picket,17.4510018,78.4988955
238,    Pragathi Nagar,17.334656,78.6077549
239,    Prakash Nagar,17.4883964,78.4220421
240,    Prasanth Nagar,17.5150089,78.4339021
241,    Purana Pul,17.3674891,78.4579042
242,    Purani Haveli,17.3663487,78.4805382
243,    R R District,25.3801017,68.3750376
244,    Raj Bhavan Road,17.4286268,78.4556526
245,    Rajendra Nagar,17.3200305,78.4020096
246,    Ram Nagar,17.4114232,78.5076081
247,    Ram Nagar X Road,17.4114232,78.5076081
248,    Ramakrishna Puram,17.3678597,78.5520284
249,    Ramakrishna Puram Road,17.3678597,78.5520284
250,    Ramanthapur,17.3968585,78.5367026
251,    Ramgopalpet,17.43257215,78.48860256
252,    Ramkote,17.3926527,78.4860666
253,    Ramnagar Gundu,17.4080204,78.5123242
254,    Ranigunj,17.4294982,78.4881643
255,    Rasoolpura,17.4471569,78.4786038
256,    Red Hills,17.3982921,78.4642498
257,    Rtc Colony,17.3152786,78.6090515
258,    RTC X Road,17.4069869,78.4965166
259,    S D Road,17.4402956,78.4963566
260,    S R Nagar,17.4431369,78.4407463
261,    Safilguda,17.4665153,78.5398739
262,    Sagar Road,17.3404985,78.522085
263,    Sai Nagar,17.3205735,78.6106914
264,    Saidabad,17.359533,78.5147979
265,    Saifabad,17.4047878,78.4658367
266,    Saleem Nagar,17.3734061,78.5121957
267,    Sanath Nagar,17.4522594,78.4446705
268,    Santosh Nagar,17.3477116,78.5043699
269,    Saroor Nagar,17.3564017,78.5318948
270,    Secretariat,17.4082658,78.4689478
271,    Serilingampally,17.46565735,78.3406724
272,    Shaikpet,17.4057955,78.4006536
273,    Shanker Mutt,17.4007635,78.50734
274,    Shanti Nagar,17.3999903,78.4546396
275,    Sikh Road,17.4505815,78.4880518
276,    Sikh Village Road,17.4505815,78.4880518
277,    Sindhi Colony,17.4412194,78.481048
278,    Somajiguda,17.4255053,78.4585197
279,    Somajiguda Circle,17.4255053,78.4585197
280,    Sri Srinivas Colony,17.4419662,78.4460383
281,    Srinagar,17.431231,78.4337951
282,    Srinivasa Colony,17.40911,78.5741236
283,    Srinivasa Nagar,17.4213133,78.5101544
284,    Srinivasa Nagar Colony,17.4917993,78.4155435
285,    St. Johns Road,17.4346703,78.5057793
286,    Subash Road,17.485212,78.502751
287,    Sultan Bazar,17.3870437,78.4869648
288,    Shapur Nagar,17.5174048,78.445407
289,    Shivaji Nagar,17.3392935,78.4737879
290,    Talab Katta,17.3540378,78.4850098
291,    Tank Bund,17.4224031,78.4850374
292,    Tank Bund Road,17.4155599,78.4797478
293,    Tar Bund,17.4569397,78.4831446
294,    Taranagar,17.4926497,78.3184691
295,    Tarnaka,17.4285479,78.5379433
296,    Tilak Nagar,17.3926401,78.5083876
297,    Tilak Road,17.3901627,78.4813507
298,    Trimulgherry,17.4746717,78.5069513
299,    Trimulgherry X Road,17.4746717,78.5069513
300,    Troop Bazar,17.3824867,78.4700567
301,    Uppal,17.4025091,78.5612562
302,    Uppuguda,17.340814,78.4841834
303,    Vanasthalipuram,17.3303179,78.568278
304,    Vasavi Nagar,17.5064765,78.505152
305,    Vengal Rao Nagar,17.442681,78.4354451
306,    Venkatapuram,17.496189,78.5043108
307,    Vidyanagar,17.4019354,78.5095814
308,    Vijay Nagar Colony,17.3981865,78.452685
309,    Vikas Nagar,17.3505952,78.3813081
310,    Vikrampuri,17.4551989,78.5000903
311,    Vikrampuri Colony,17.4555597,78.4992979
312,    Warasiguda,17.4182415,78.5113365
313,    West Marredpally,17.45121,78.5020964
314,    Yakutpura,17.3586277,78.4858046
315,    Yapral,17.5030543,78.5407976
316,    Yellareddyguda,17.4333135,78.4415476
317,    Yousufguda,17.4387499,78.4279866
318,    Zamistanpur,17.41526,78.5014979
319,    Hyderabad GPO,17.3879598,78.47648164
320,    Hyderabad Jubilee HO,17.4327038,78.4069257
321,    Hyderabad Public School,17.400104,78.5362094
322,    I.E.Nacharam,17.4284936,78.5528098
323,    IICT,17.42391305,78.53901458
324,    Karwan Sahu,17.3734894,78.4412105
325,    Keesara,17.5249309,78.6665345
326,    Khairatabad HO,17.4117706,78.4622003
327,    Kismatpur,17.3353379,78.3900891
328,    Kolthur,17.6583198,78.6384067
329,    Mehdipatnam,17.3942627,78.4342514
330,    Old City,17.9003522,77.534427
331,    Qazipura,17.3531758,78.4678577
332,    Rahmath Nagar,17.44503025,78.42037308
333,    Rail Nilayam,17.43893155,78.51084316
334,    Raj Bhavan,17.4194223,78.4604552
335,    Ag College,17.4066471,78.46763592
336,    AG Office,17.4066688,78.46685685
337,    Amber Nagar,17.5106504,78.39930385
338,    Anand Nagar,17.4131969,78.4537417
339,    Andhra Mahila Sabha,17.4380394,78.40980561
340,    Badangpet,17.30235475,78.52486821
341,    Begumpet,17.4386951,78.4580969
342,    Bharath Nagar Colony,17.3518725,78.5470173
343,    Central Police Lines,17.3672378,78.4663722
344,    Chanchalguda Colony,17.3668879,78.4934579
345,    Chandulal Baradari,17.3518433,78.4603915
346,    Cyberabad,17.423312,78.3805527
347,    Dargah Hussain Shah Wali,17.4111173,78.3896203
348,    Dhoolpet,17.3721615,78.4605351
349,    Gajularamaram,17.5271759,78.4200077
350,    Gandhi Bhavan,17.3879357,78.47074874
351,    Girmapur,17.633634,78.4551609
352,    Vishali Nagar,17.485652,78.3489789
353,    Vaidehi Nagar,17.3198663,78.5693374
354,    Thumkunta,17.5921885,78.698051
355,    Survey Of India,17.4080453,78.5537319
356,    Suraram,17.53609455,78.41863859
357,    Sultan Shahi,17.3498098,78.4805712
358,    Kachiguda Station,17.39004015,78.49462051
359,    State Bank Of Hyderabad,17.3095925,78.4120161
360,    Srinivasapuram,17.3888332,78.5285942
361,    South Banjara Hills,17.4177464,78.4399014
362,    Snehapuri Colony,17.4244614,78.54363974
363,    Sitaphalmandi,17.4297326,78.5174265
364,    Shyam Nagar,17.3895656,78.4973631
365,    Ankushapur,17.4597656,78.737024
366,    Hanumanpet,17.446169,78.5265298
367,    Himayat Nagar,17.4039678,78.483456
368,    Abids,17.3894783,78.477182
369,    Amberpet,17.7776835,78.5705066
370,    Dilsukhnagar,17.3684433,78.5228597
371,    Sanjeeva Reddy Nagar,17.4394461,78.4428558
372,    Hindustan Cables Ltd,17.4563679,78.5790404
373,    Malakpet Colony,17.3746066,78.505425
374,    Mangalhat,17.3787687,78.4604403
375,    Mansoorabad,17.3541765,78.5652906
376,    Moghalpura,17.3575281,78.4770839
377,    Nanakramguda,17.4258278,78.3405519
378,    Osman Nagar,17.4534412,78.2905747
379,    Padmarao Nagar,17.4256007,78.50851534
380,    Padmavathi Nagar,17.3284477,78.595089
381,    Pahadi Shareef,17.2677334,78.47136952
382,    Koti,17.3847309,78.4836642
383,    Old MLA Quarters,17.4052114,78.47316706
384,    New MLA Quarters,17.4052114,78.47316706
385,    NGRI,17.4160523,78.5449463
386,    Rein Bazar,17.35787325,78.49155075
387,    Saidabad Colony,17.3615744,78.5118433
388,    Sanath Nagar Colony,17.45498,78.4478717
389,    Santosh Nagar Colony,17.4411302,78.3604531
390,    Parishram Bhavan,17.4015502,78.47482234
391,    Rangareddy District Court,17.4454957,78.34854698
392,    Ravalkole,17.6598279,78.5248768
393,    Sanath Nagar IE,17.4522594,78.4446705
